mu_0,mu_1,mu_2,mu_3,mu_4,n_0,n_1,n_2,n_3,n_4,sigma_0.2,sigma_1.2,sigma_2.2,sigma_3.2,sigma_4.2,nrep,alpha,time0,m0_fwer,time1,m1_fwer,time2,m2_fwer,time3,m3_fwer
0,0,0,0,0,10,10,10,10,10,900,900,900,900,900,1.00E+05,0.025,0.009,0.02499,0,0.02015,0.008,0.02455,0.752,0.02286
0,0,0,0,0,10,10,10,10,10,2500,100,100,100,100,1.00E+05,0.025,0.009,0.0813,0,0.01025,0.009,0.0233,0.699,0.02288
0,0,0,0,0,10,10,10,10,10,100,100,100,100,2500,1.00E+05,0.025,0.009,0.05851,0,0.02243,0.008,0.02574,0.696,0.02402
0,0,0,0,0,6,11,11,11,11,100,100,100,100,2500,1.00E+05,0.025,0.009,0.03171,0,0.02073,0.009,0.02516,0.675,0.02316
0,0,0,0,0,11,11,11,11,6,100,100,100,100,2500,1.00E+05,0.025,0.009,0.13234,0,0.02331,0.009,0.02644,0.685,0.02445
0,0,0,0,0,6,11,11,11,11,2500,100,100,100,100,1.00E+05,0.025,0.01,0.17086,0,0.00954,0.008,0.0227,0.632,0.02234
0,0,0,0,0,11,11,11,11,6,2500,100,100,100,100,1.00E+05,0.025,0.009,0.06767,0,0.01067,0.009,0.02391,0.652,0.02346
0,20,0,0,0,10,10,10,10,10,900,900,900,900,900,1.00E+05,0.025,0.009,0.02021,0,0.01673,0.008,0.02007,0.54,0.01877
0,20,0,0,0,10,10,10,10,10,2500,100,100,100,100,1.00E+05,0.025,0.009,0.07793,0,0.00992,0.01,0.02288,0.694,0.02251
0,20,0,0,0,10,10,10,10,10,100,100,100,100,2500,1.00E+05,0.025,0.009,0.05803,0,0.01866,0.009,0.02066,0.665,0.02011
0,20,0,0,0,6,11,11,11,11,100,100,100,100,2500,1.00E+05,0.025,0.009,0.03008,0,0.01645,0.009,0.02031,0.644,0.01849
0,20,0,0,0,11,11,11,11,6,100,100,100,100,2500,1.00E+05,0.025,0.009,0.13038,0,0.02029,0.008,0.02166,0.573,0.02103
0,20,0,0,0,6,11,11,11,11,2500,100,100,100,100,1.00E+05,0.025,0.01,0.16214,0,0.00852,0.009,0.02053,0.678,0.02022
0,20,0,0,0,11,11,11,11,6,2500,100,100,100,100,1.00E+05,0.025,0.009,0.06174,0,0.00939,0.009,0.02219,0.673,0.02176
0,20,20,0,0,10,10,10,10,10,900,900,900,900,900,1.00E+05,0.025,0.009,0.01353,0,0.01083,0.009,0.01333,0.645,0.01234
0,20,20,0,0,10,10,10,10,10,2500,100,100,100,100,1.00E+05,0.025,0.008,0.06941,0,0.00874,0.008,0.0199,0.584,0.01941
0,20,20,0,0,10,10,10,10,10,100,100,100,100,2500,1.00E+05,0.025,0.009,0.05786,0,0.01374,0.009,0.01435,0.696,0.01462
0,20,20,0,0,6,11,11,11,11,100,100,100,100,2500,1.00E+05,0.025,0.009,0.03116,0,0.01222,0.01,0.01538,0.681,0.01386
0,20,20,0,0,11,11,11,11,6,100,100,100,100,2500,1.00E+05,0.025,0.009,0.13092,0.001,0.0173,0.009,0.01497,0.679,0.01805
0,20,20,0,0,6,11,11,11,11,2500,100,100,100,100,1.00E+05,0.025,0.008,0.15241,0,0.00832,0.011,0.01942,0.543,0.01917
0,20,20,0,0,11,11,11,11,6,2500,100,100,100,100,1.00E+05,0.025,0.009,0.05335,0,0.00875,0.009,0.01993,0.641,0.01938
0,20,20,20,0,10,10,10,10,10,900,900,900,900,900,1.00E+05,0.025,0.009,0.00808,0,0.00636,0.01,0.00773,0.573,0.00721
0,20,20,20,0,10,10,10,10,10,2500,100,100,100,100,1.00E+05,0.025,0.01,0.05826,0,0.00664,0.009,0.01541,0.616,0.01504
0,20,20,20,0,10,10,10,10,10,100,100,100,100,2500,1.00E+05,0.025,0.009,0.05769,0.001,0.00848,0.008,0.0077,0.693,0.00927
0,20,20,20,0,6,11,11,11,11,100,100,100,100,2500,1.00E+05,0.025,0.008,0.03079,0,0.00575,0.009,0.00799,0.611,0.00686
0,20,20,20,0,11,11,11,11,6,100,100,100,100,2500,1.00E+05,0.025,0.009,0.13132,0,0.01385,0.009,0.0087,0.675,0.0144
0,20,20,20,0,6,11,11,11,11,2500,100,100,100,100,1.00E+05,0.025,0.009,0.1345,0,0.0078,0.011,0.01712,0.672,0.01688
0,20,20,20,0,11,11,11,11,6,2500,100,100,100,100,1.00E+05,0.025,0.009,0.0293,0,0.00646,0.01,0.0153,0.618,0.01466
